iter	Passed	Remaining
438	1288	1646
439	1290	1643
440	1294	1640
441	1296	1636
442	1299	1633
443	1301	1630
444	1304	1626
445	1306	1622
446	1308	1618
447	1310	1615
448	1313	1611
449	1315	1607
450	1317	1603
451	1319	1600
452	1322	1596
453	1324	1593
454	1327	1589
455	1329	1586
456	1332	1582
457	1334	1579
458	1337	1576
459	1339	1572
460	1341	1568
461	1344	1565
462	1346	1561
463	1351	1561
464	1352	1556
465	1355	1552
466	1358	1550
467	1361	1547
468	1363	1543
469	1365	1540
470	1367	1536
471	1370	1532
472	1372	1528
473	1374	1525
474	1376	1521
475	1378	1517
476	1380	1513
477	1383	1510
478	1385	1507
479	1387	1503
480	1390	1499
481	1392	1496
482	1394	1493
483	1397	1489
484	1399	1486
485	1402	1483
486	1405	1480
487	1407	1476
488	1410	1473
489	1412	1470
490	1415	1467
491	1418	1464
492	1420	1461
493	1423	1458
494	1426	1454
495	1429	1452
496	1431	1449
497	1435	1446
498	1437	1442
499	1439	1439
500	1442	1436
501	1445	1433
502	1447	1430
503	1450	1427
504	1452	1423
505	1454	1420
506	1456	1416
507	1459	1413
508	1461	1409
509	1463	1406
510	1465	1402
511	1468	1399
512	1470	1395
513	1472	1392
514	1474	1388
515	1477	1385
516	1479	1381
517	1481	1378
518	1483	1375
519	1486	1371
520	1488	1368
521	1490	1365
522	1493	1361
523	1495	1358
524	1497	1355
525	1502	1353
526	1504	1350
527	1507	1347
528	1510	1344
529	1512	1341
530	1514	1337
531	1516	1334
532	1519	1331
533	1521	1327
534	1523	1324
535	1525	1320
536	1527	1317
537	1529	1313
538	1532	1310
539	1534	1307
540	1536	1303
541	1538	1300
542	1541	1297
543	1543	1293
544	1545	1290
545	1548	1287
546	1550	1284
547	1553	1281
548	1555	1277
549	1558	1274
550	1561	1272
551	1563	1268
552	1566	1265
553	1568	1262
554	1571	1259
555	1573	1256
556	1576	1253
557	1578	1250
558	1580	1246
559	1582	1243
560	1584	1239
561	1586	1236
562	1589	1233
563	1591	1230
564	1594	1227
565	1596	1224
566	1599	1221
567	1602	1218
568	1604	1215
569	1607	1212
570	1609	1209
571	1612	1206
572	1614	1203
573	1616	1200
574	1619	1196
575	1621	1193
576	1624	1190
577	1626	1187
578	1629	1184
579	1631	1181
580	1634	1178
581	1636	1175
582	1639	1172
583	1641	1169
584	1644	1166
585	1646	1163
586	1649	1160
587	1651	1157
588	1654	1154
589	1656	1151
590	1659	1148
591	1662	1145
592	1664	1142
593	1666	1139
594	1669	1136
595	1671	1132
596	1673	1129
597	1675	1126
598	1677	1123
599	1680	1120
600	1682	1117
601	1685	1114
602	1688	1111
603	1690	1108
604	1692	1105
605	1695	1102
606	1697	1099
607	1700	1096
608	1703	1093
609	1705	1090
610	1708	1087
611	1710	1084
612	1713	1081
613	1715	1078
614	1718	1075
615	1720	1072
616	1723	1069
617	1725	1066
618	1728	1063
619	1730	1060
620	1733	1057
621	1735	1054
622	1738	1051
623	1740	1048
624	1743	1045
625	1745	1042
626	1748	1039
627	1750	1036
628	1753	1034
629	1755	1030
630	1757	1027
631	1760	1025
632	1762	1021
633	1765	1019
634	1767	1016
635	1770	1013
636	1772	1010
637	1775	1007
638	1777	1004
639	1780	1001
640	1782	998
641	1785	995
642	1787	992
643	1790	989
644	1792	986
645	1795	983
646	1798	981
647	1800	978
648	1803	975
649	1805	972
650	1808	969
651	1810	966
652	1813	963
653	1815	960
654	1818	957
655	1820	954
656	1823	951
657	1826	949
658	1828	946
659	1831	943
660	1833	940
661	1836	937
662	1838	934
663	1841	931
664	1843	928
665	1845	925
666	1848	922
667	1850	919
668	1852	916
669	1855	913
670	1857	910
671	1860	908
672	1862	905
673	1865	902
674	1867	899
675	1870	896
676	1872	893
677	1875	890
678	1878	887
679	1880	884
680	1883	882
681	1885	879
682	1888	876
683	1890	873
684	1893	870
685	1895	867
686	1898	864
687	1900	861
688	1903	859
689	1905	856
690	1908	853
691	1910	850
692	1912	847
693	1915	844
694	1918	841
695	1920	838
696	1923	836
697	1925	833
698	1928	830
699	1930	827
700	1933	824
701	1935	821
702	1938	818
703	1940	816
704	1943	813
705	1945	810
706	1948	807
707	1950	804
708	1953	801
709	1955	798
710	1958	796
711	1960	793
712	1963	790
713	1965	787
714	1968	784
715	1970	781
716	1973	778
717	1975	775
718	1978	773
719	1980	770
720	1983	767
721	1985	764
722	1988	761
723	1990	758
724	1993	756
725	1995	753
726	1998	750
727	2000	747
728	2003	744
729	2005	741
730	2008	739
731	2010	736
732	2013	733
733	2015	730
734	2018	727
735	2020	724
736	2023	722
737	2025	719
738	2028	716
739	2030	713
740	2033	710
741	2035	707
742	2038	705
743	2040	702
744	2043	699
745	2046	696
746	2048	693
747	2051	690
748	2053	688
749	2056	685
750	2058	682
751	2061	679
752	2063	676
753	2065	674
754	2068	671
755	2070	668
756	2073	665
757	2075	662
758	2078	659
759	2080	657
760	2083	654
761	2085	651
762	2088	648
763	2090	645
764	2092	642
765	2095	640
766	2097	637
767	2100	634
768	2102	631
769	2105	628
770	2107	625
771	2110	623
772	2112	620
773	2115	617
774	2117	614
775	2120	611
776	2122	609
777	2124	606
778	2127	603
779	2129	600
780	2132	597
781	2134	595
782	2137	592
783	2139	589
784	2142	586
785	2145	584
786	2147	581
787	2150	578
788	2152	575
789	2155	572
790	2157	570
791	2160	567
792	2162	564
793	2165	561
794	2167	558
795	2170	556
796	2172	553
797	2175	550
798	2177	547
799	2180	545
800	2182	542
801	2185	539
802	2187	536
803	2190	533
804	2193	531
805	2195	528
806	2198	525
807	2200	522
808	2203	520
809	2206	517
810	2208	514
811	2211	511
812	2213	509
813	2216	506
814	2218	503
815	2221	500
816	2223	498
817	2226	495
818	2228	492
819	2231	489
820	2234	487
821	2236	484
822	2239	481
823	2241	478
824	2244	476
825	2247	473
826	2249	470
827	2251	467
828	2254	465
829	2256	462
830	2259	459
831	2261	456
832	2264	453
833	2267	451
834	2269	448
835	2272	445
836	2274	443
837	2277	440
838	2279	437
839	2281	434
840	2284	431
841	2287	429
842	2289	426
843	2291	423
844	2294	420
845	2296	418
846	2299	415
847	2301	412
848	2303	409
849	2306	407
850	2308	404
851	2311	401
852	2313	398
853	2316	395
854	2318	393
855	2321	390
856	2323	387
857	2326	385
858	2329	382
859	2331	379
860	2333	376
861	2336	374
862	2338	371
863	2341	368
864	2343	365
865	2346	363
866	2348	360
867	2351	357
868	2353	354
869	2356	352
870	2358	349
871	2361	346
872	2363	343
873	2366	341
874	2368	338
875	2371	335
876	2373	332
877	2376	330
878	2378	327
879	2381	324
880	2383	321
881	2386	319
882	2388	316
883	2391	313
884	2393	311
885	2396	308
886	2398	305
887	2401	302
888	2403	300
889	2406	297
890	2408	294
891	2411	291
892	2413	289
893	2416	286
894	2418	283
895	2421	281
896	2423	278
897	2426	275
898	2428	272
899	2430	270
900	2433	267
901	2435	264
902	2438	261
903	2440	259
904	2443	256
905	2445	253
906	2448	251
907	2450	248
908	2453	245
909	2456	242
910	2458	240
911	2461	237
912	2463	234
913	2466	232
914	2468	229
915	2470	226
916	2473	223
917	2475	221
918	2478	218
919	2480	215
920	2483	213
921	2485	210
922	2488	207
923	2490	204
924	2493	202
925	2495	199
926	2497	196
927	2500	194
928	2503	191
929	2505	188
930	2508	185
931	2510	183
932	2513	180
933	2515	177
934	2518	175
935	2520	172
936	2523	169
937	2525	166
938	2528	164
939	2530	161
940	2533	158
941	2535	156
942	2538	153
943	2540	150
944	2543	148
945	2546	145
946	2548	142
947	2551	139
948	2553	137
949	2556	134
950	2558	131
951	2561	129
952	2563	126
953	2566	123
954	2568	121
955	2571	118
956	2573	115
957	2576	112
958	2578	110
959	2581	107
960	2584	104
961	2586	102
962	2589	99
963	2591	96
964	2594	94
965	2596	91
966	2599	88
967	2601	86
968	2604	83
969	2607	80
970	2609	77
971	2612	75
972	2614	72
973	2617	69
974	2620	67
975	2622	64
976	2624	61
977	2627	59
978	2630	56
979	2632	53
980	2635	51
981	2637	48
982	2640	45
983	2642	42
984	2645	40
985	2647	37
986	2650	34
987	2653	32
988	2655	29
989	2658	26
990	2660	24
991	2663	21
992	2665	18
993	2668	16
994	2670	13
995	2673	10
996	2675	8
997	2678	5
998	2680	2
999	2683	0
