iter	RMSE
230	4.866529945
231	4.865557497
232	4.859847109
233	4.856545878
234	4.852581257
235	4.848054313
236	4.843164199
237	4.838294808
238	4.833158127
239	4.827583308
240	4.823403715
241	4.820883703
242	4.818570293
243	4.814135974
244	4.81167896
245	4.808620601
246	4.804713675
247	4.803652201
248	4.799694692
249	4.797072533
250	4.793921783
251	4.790983651
252	4.78894448
253	4.786078037
254	4.782114855
255	4.7776826
256	4.77364059
257	4.769065329
258	4.76595111
259	4.764592164
260	4.759740549
261	4.754042389
262	4.749710003
263	4.748111638
264	4.746746524
265	4.743653851
266	4.739287021
267	4.736810872
268	4.735313935
269	4.732677948
270	4.731423113
271	4.729475022
272	4.72848708
273	4.726975065
274	4.725338877
275	4.721904071
276	4.715521002
277	4.712705905
278	4.709461111
279	4.70894785
280	4.705363722
281	4.701092701
282	4.697838486
283	4.694912133
284	4.690493919
285	4.689475901
286	4.685861449
287	4.68165334
288	4.679642492
289	4.674391115
290	4.669007667
291	4.664291609
292	4.66085542
293	4.657422776
294	4.65260346
295	4.648039599
296	4.644614816
297	4.640792707
298	4.636216371
299	4.631866868
300	4.62847752
301	4.626293092
302	4.622959485
303	4.620541588
304	4.617186447
305	4.614672939
306	4.610575897
307	4.608276195
308	4.605757171
309	4.604580624
310	4.601261273
311	4.595518997
312	4.592200056
313	4.587017228
314	4.582225408
315	4.579956588
316	4.576535643
317	4.573190071
318	4.57003033
319	4.565959466
320	4.56279036
321	4.556780493
322	4.554740058
323	4.552756893
324	4.550616497
325	4.549591615
326	4.544502313
327	4.542710066
328	4.538946527
329	4.53386511
330	4.529369512
331	4.523394733
332	4.520651785
333	4.518450825
334	4.513104786
335	4.511996518
336	4.509939962
337	4.508862937
338	4.506661351
339	4.502582538
340	4.500538165
341	4.499687156
342	4.498964675
343	4.493634677
344	4.489848106
345	4.486449271
346	4.483057023
347	4.479111462
348	4.476070226
349	4.475370506
350	4.472627426
351	4.469031561
352	4.463471455
353	4.46243154
354	4.459327701
355	4.457528231
356	4.456453295
357	4.455516553
358	4.455220052
359	4.449515196
360	4.444413936
361	4.439038156
362	4.433640482
363	4.429649532
364	4.42707388
365	4.425292238
366	4.422665253
367	4.420582021
368	4.41679672
369	4.414936027
370	4.413290922
371	4.410215065
372	4.407113056
373	4.401556011
374	4.398578196
375	4.397252427
376	4.396916852
377	4.396048356
378	4.391764742
379	4.386264211
380	4.382127916
381	4.378524702
382	4.372206993
383	4.370347874
384	4.367401159
385	4.364333374
386	4.36139009
387	4.360016727
388	4.356081958
389	4.354789522
390	4.353951313
391	4.350044989
392	4.346897079
393	4.345607482
394	4.342892268
395	4.341640167
396	4.337607923
397	4.336534417
398	4.332342996
399	4.327271467
400	4.326080315
401	4.322448631
402	4.319044348
403	4.315559121
404	4.313154761
405	4.310057635
406	4.308363921
407	4.307041145
408	4.302626556
409	4.300860729
410	4.29856563
411	4.293638538
412	4.291544914
413	4.289383256
414	4.288376402
415	4.285720452
416	4.28428226
417	4.280976345
418	4.279157917
419	4.276066944
420	4.274208107
421	4.272453498
422	4.269238132
423	4.264744561
424	4.259319124
425	4.256826575
426	4.253235352
427	4.250827767
428	4.250029112
429	4.245106473
430	4.240055667
431	4.236456381
432	4.235298729
433	4.230364494
434	4.228209356
435	4.22603174
436	4.223064095
437	4.221914925
438	4.217054333
439	4.216195705
440	4.21068566
441	4.207750685
442	4.206308872
443	4.206029575
444	4.203281636
445	4.198362549
446	4.194831699
447	4.192527844
448	4.1888255
449	4.18442552
450	4.181255136
451	4.179085736
452	4.17428234
453	4.171179056
454	4.169152744
455	4.165513975
456	4.162921674
457	4.160813176
458	4.157267849
459	4.153879531
460	4.1514472
461	4.150632371
462	4.146044034
463	4.143241844
464	4.143156102
465	4.141918246
466	4.138672587
467	4.138110053
468	4.136468779
469	4.13325861
470	4.132575486
471	4.130784952
472	4.127963577
473	4.125898894
474	4.125189038
475	4.123557365
476	4.122478629
477	4.120045298
478	4.119434802
479	4.116379208
480	4.115794722
481	4.112219636
482	4.112135857
483	4.110595178
484	4.108444934
485	4.105910973
486	4.104261657
487	4.102121685
488	4.096283276
489	4.09497369
490	4.093084384
491	4.08940006
492	4.085905038
493	4.082496351
494	4.081292023
495	4.077458849
496	4.073881573
497	4.072970387
498	4.072437819
499	4.071101424
500	4.069003375
501	4.068027291
502	4.066891429
503	4.061781392
504	4.05910078
505	4.058492653
506	4.055042149
507	4.053632886
508	4.049485666
509	4.047736037
510	4.046948875
511	4.045386968
512	4.041349446
513	4.04040071
514	4.037678178
515	4.036024821
516	4.03530748
517	4.032963882
518	4.032119214
519	4.028928452
520	4.025737597
521	4.022101835
522	4.016563762
523	4.014653071
524	4.011640931
525	4.009705687
526	4.005659946
527	4.001237717
528	4.000815521
529	4.000158768
530	3.998268049
531	3.995501703
532	3.991426554
533	3.99007152
534	3.988637964
535	3.984280005
536	3.983866468
537	3.982767533
538	3.980693962
539	3.976729104
540	3.973245821
541	3.97147473
542	3.969031941
543	3.966265421
544	3.9625967
545	3.959571512
546	3.956909458
547	3.955968273
548	3.950929753
549	3.950388097
550	3.948605259
551	3.946366953
552	3.945088211
553	3.943380042
554	3.941427587
555	3.93823872
556	3.935924894
557	3.934976577
558	3.933926062
559	3.933164038
560	3.932449261
561	3.931392703
562	3.929427829
563	3.925251414
564	3.924697969
565	3.923045812
566	3.921889626
567	3.919759381
568	3.918173075
569	3.915311194
570	3.912449285
571	3.911947884
572	3.908085735
573	3.907276978
574	3.906818115
575	3.906331342
576	3.902465589
577	3.899396336
578	3.896979127
579	3.894043486
580	3.892539868
581	3.88957452
582	3.886772925
583	3.883347746
584	3.880279851
585	3.877839379
586	3.874263693
587	3.872827723
588	3.872234619
589	3.870162678
590	3.867273435
591	3.863009412
592	3.859254273
593	3.858525122
594	3.855354057
595	3.852850271
596	3.85055514
597	3.84876948
598	3.846745271
599	3.844488621
600	3.843787227
601	3.841340968
602	3.838384512
603	3.835653576
604	3.832913653
605	3.830399863
606	3.830088962
607	3.82726913
608	3.824785111
609	3.821275958
610	3.816670916
611	3.815606371
612	3.814096117
613	3.810948839
614	3.80923806
615	3.808665678
616	3.80781043
617	3.804004758
618	3.801585268
619	3.799926449
620	3.797143522
621	3.794016031
622	3.793347058
623	3.792665508
624	3.790469053
625	3.78700728
626	3.784707198
627	3.783975231
628	3.782563947
629	3.780630806
630	3.777995214
631	3.775180664
632	3.774422066
633	3.772380624
634	3.766326709
635	3.763917279
636	3.761179632
637	3.757945825
638	3.755307847
639	3.754765133
640	3.753854052
641	3.749907715
642	3.747373502
643	3.745483613
644	3.743095274
645	3.740056266
646	3.737471898
647	3.73690418
648	3.734244247
649	3.733766291
650	3.733198486
651	3.731735275
652	3.73009509
653	3.728255861
654	3.726001084
655	3.72281966
656	3.721665464
657	3.719287549
658	3.715104542
659	3.714309532
660	3.71124535
661	3.709786385
662	3.707907915
663	3.706283134
664	3.704193826
665	3.703393025
666	3.701961094
667	3.700725006
668	3.700588629
669	3.696987005
670	3.694312071
671	3.693114971
672	3.692114049
673	3.689531344
674	3.68906575
675	3.687651676
676	3.686398907
677	3.684643345
678	3.683724934
679	3.680727819
680	3.679044141
681	3.678577635
682	3.676717618
683	3.67501348
684	3.673894007
685	3.672254555
686	3.671581008
687	3.670375079
688	3.667431577
689	3.66699048
690	3.665635872
691	3.662431281
692	3.661445702
693	3.660634873
694	3.658768021
695	3.656701571
696	3.656386089
697	3.654615579
698	3.651885259
699	3.650097513
700	3.647861152
701	3.645603565
702	3.644010503
703	3.643409613
704	3.641584034
705	3.640317132
706	3.640128031
707	3.637989684
708	3.63577045
709	3.633812953
710	3.633443964
711	3.63263566
712	3.629008861
713	3.628505137
714	3.628248097
715	3.62636525
716	3.62391692
717	3.623573495
718	3.621328333
719	3.620022915
720	3.617280283
721	3.614146354
722	3.613728376
723	3.611950837
724	3.609570024
725	3.606941944
726	3.605474745
727	3.604173179
728	3.603729815
729	3.601073632
730	3.599237976
731	3.597325847
732	3.595947535
733	3.594638758
734	3.592380598
735	3.591995643
736	3.589229697
737	3.58729342
738	3.58646315
739	3.584110518
740	3.580738526
741	3.580444384
742	3.579272203
743	3.576451733
744	3.572925323
745	3.569545647
746	3.568446609
747	3.567442712
748	3.566242218
749	3.565698132
750	3.562002096
751	3.560177577
752	3.559887642
753	3.559133597
754	3.558615304
755	3.557763092
756	3.556169988
757	3.554401097
758	3.551809032
759	3.550892275
760	3.550347525
761	3.54876426
762	3.547620076
763	3.546587763
764	3.546236191
765	3.545511473
766	3.543936261
767	3.540314266
768	3.539069603
769	3.536852364
770	3.535805913
771	3.534850907
772	3.533291743
773	3.53120364
774	3.529157302
775	3.528857486
776	3.527576801
777	3.525201297
778	3.522955235
779	3.522137133
780	3.51947685
781	3.519250198
782	3.51675628
783	3.515902955
784	3.515144949
785	3.514762674
786	3.512698952
787	3.509936163
788	3.50718746
789	3.507054724
790	3.506635282
791	3.505591039
792	3.503046445
793	3.501437703
794	3.499778985
795	3.497724728
796	3.494920281
797	3.494717982
798	3.490797408
799	3.490436193
800	3.489392845
801	3.487684394
802	3.485330824
803	3.484286453
804	3.481149341
805	3.48002582
806	3.47703009
807	3.476621322
808	3.475083206
809	3.472260156
810	3.471070319
811	3.469547313
812	3.469313488
813	3.465767744
814	3.462126091
815	3.46005376
816	3.459970741
817	3.459654451
818	3.458212877
819	3.457896056
820	3.455421465
821	3.453490265
822	3.452280601
823	3.451378229
824	3.449403881
825	3.448268111
826	3.447156043
827	3.446668655
828	3.446432952
829	3.446271274
830	3.445367215
831	3.444166909
832	3.443109846
833	3.441526688
834	3.439062714
835	3.438022149
836	3.437662237
837	3.434392763
838	3.43292653
839	3.432908534
840	3.430037785
841	3.428478301
842	3.428258695
843	3.427769633
844	3.425357741
845	3.423026232
846	3.419474885
847	3.419438032
848	3.417918792
849	3.41539469
850	3.415123878
851	3.413632488
852	3.410572615
853	3.409759984
854	3.408115072
855	3.40712233
856	3.405569933
857	3.403670873
858	3.402061856
859	3.401624028
860	3.40107831
861	3.399488918
862	3.398469631
863	3.395569865
864	3.392596698
865	3.391216271
866	3.38908237
867	3.387821452
868	3.387136226
869	3.38661545
870	3.385773988
871	3.384990325
872	3.383999057
873	3.38307619
874	3.381340951
875	3.380927379
876	3.380229396
877	3.378624887
878	3.376617594
879	3.375340727
880	3.374240297
881	3.373484164
882	3.373178555
883	3.372160016
884	3.370196531
885	3.368932795
886	3.367341222
887	3.363878485
888	3.361027069
889	3.359544351
890	3.358528764
891	3.357052384
892	3.356852155
893	3.35340418
894	3.351524091
895	3.350899995
896	3.350203293
897	3.348800527
898	3.348529759
899	3.34839621
900	3.348142695
901	3.345476995
902	3.345182338
903	3.343900536
904	3.343252989
905	3.341455586
906	3.340287911
907	3.337997291
908	3.336064848
909	3.334247706
910	3.333320867
911	3.332644936
912	3.332295411
913	3.332053516
914	3.331842034
915	3.330135043
916	3.32883543
917	3.327937762
918	3.326415938
919	3.323331577
920	3.321457673
921	3.320575099
922	3.320371933
923	3.320059199
924	3.318167809
925	3.316881879
926	3.314675041
927	3.312135324
928	3.309844528
929	3.307902277
930	3.307716112
931	3.305828171
932	3.304848891
933	3.302469853
934	3.302003836
935	3.300169615
936	3.298728303
937	3.297188715
938	3.294813919
939	3.294587978
940	3.292682081
941	3.290737004
942	3.286742384
943	3.286588357
944	3.285885989
945	3.283639214
946	3.283168903
947	3.280880153
948	3.280230014
949	3.27879013
950	3.277211753
951	3.275275204
952	3.274200413
953	3.272848247
954	3.272305805
955	3.269683746
956	3.26940252
957	3.268664769
958	3.267834495
959	3.265066678
960	3.264664623
961	3.264265622
962	3.262995325
963	3.260827526
964	3.259752577
965	3.258179236
966	3.25773769
967	3.256002391
968	3.25561404
969	3.254738477
970	3.254232424
971	3.25256964
972	3.252162157
973	3.251433423
974	3.250097802
975	3.249927747
976	3.24734315
977	3.245561234
978	3.244015484
979	3.243137718
980	3.242350091
981	3.241113525
982	3.23909535
983	3.237479162
984	3.234271084
985	3.233257482
986	3.23305196
987	3.231500581
988	3.231049188
989	3.230767725
990	3.226911748
991	3.224814236
992	3.223326165
993	3.223012279
994	3.219927082
995	3.219739727
996	3.218529569
997	3.218243911
998	3.217622342
999	3.217198121
